"Time","latitude","longitude","DryTime","Argos_loc_class"
0.241388889,59.22499847,-154.0050049,0,"B"
1,NA,NA,0,NA
1.993055556,59.19800186,-153.9850006,0,"A"
2,NA,NA,0,NA
3,NA,NA,0,NA
3.814722222,59.16199875,-153.9470062,0,"2"
4,NA,NA,0.05,NA
4.898888889,59.1269989,-153.8970032,0.05,"A"
5,NA,NA,0.05,NA
5.095555556,59.11899948,-153.8880005,0.05,"2"
5.570277778,59.1230011,-153.9049988,0.05,"3"
6,NA,NA,0.65,NA
6.972777778,59.10599899,-153.822998,0.65,"0"
7,NA,NA,0,NA
7.188055556,59.11899948,-153.8480072,0,"1"
8,NA,NA,0,NA
9,NA,NA,0.05,NA
9.770555556,59.10200119,-153.8090057,0.05,"3"
10,NA,NA,0,NA
11,NA,NA,0,NA
12,NA,NA,0,NA
13,NA,NA,0,NA
14,NA,NA,0,NA
15,NA,NA,0,NA
16,NA,NA,0,NA
17,NA,NA,0.05,NA
17.00277778,59.09600067,-153.8099976,0.05,"A"
18,NA,NA,0,NA
19,NA,NA,0,NA
19.69527778,59.11100006,-153.7630005,0,"A"
19.73861111,59.11000061,-153.7539978,0,"2"
20,NA,NA,0,NA
21,NA,NA,0.05,NA
21.3925,59.13800049,-153.7599945,0.05,"B"
21.89805556,59.11100006,-153.7969971,0.05,"B"
22,NA,NA,0.35,NA
23,NA,NA,0.95,NA
24,NA,NA,0.05,NA
24.10416667,59.10200119,-153.7059937,0.05,"A"
25,NA,NA,0,NA
26,NA,NA,0,NA
27,NA,NA,0,NA
28,NA,NA,0,NA
29,NA,NA,0,NA
30,NA,NA,0,NA
31,NA,NA,0.55,NA
32,NA,NA,1,NA
33,NA,NA,0.85,NA
34,NA,NA,0.95,NA
35,NA,NA,0.55,NA
36,NA,NA,0,NA
37,NA,NA,0,NA
38,NA,NA,0,NA
39,NA,NA,0,NA
40,NA,NA,0,NA
40.56527778,59.10300064,-153.6049957,0,"B"
41,NA,NA,0,NA
42,NA,NA,0,NA
43,NA,NA,0,NA
44,NA,NA,0,NA
45,NA,NA,0,NA
45.5225,59.08599854,-153.6049957,0,"B"
46,NA,NA,0,NA
47,NA,NA,0,NA
48,NA,NA,0,NA
48.00861111,59.12400055,-153.6589966,0,"B"
49,NA,NA,0,NA
50,NA,NA,0,NA
50.41138889,59.0929985,-153.6499939,0,"B"
51,NA,NA,0,NA
51.04166667,59.11399841,-153.6790009,0,"B"
51.32083333,59.11600113,-153.6909943,0,"1"
52,NA,NA,0,NA
53,NA,NA,0,NA
54,NA,NA,0,NA
55,NA,NA,0,NA
55.69861111,59.0890007,-153.6289978,0,"B"
55.94805556,59.0870018,-153.6470032,0,"A"
56,NA,NA,0.35,NA
57,NA,NA,0.85,NA
57.35444444,59.09500122,-153.6560059,0.85,"2"
57.9175,59.125,-153.6670074,0.85,"1"
58,NA,NA,0.85,NA
59,NA,NA,0.45,NA
60,NA,NA,0,NA
61,NA,NA,0.09,NA
61.27888889,59.13600159,-153.6360016,0.09,"B"
62,NA,NA,0,NA
63,NA,NA,0,NA
64,NA,NA,0,NA
65,NA,NA,0,NA
65.60166667,59.0870018,-153.8029938,0,"1"
66,NA,NA,0,NA
67,NA,NA,0,NA
67.27861111,59.08300018,-153.848999,0,"0"
68,NA,NA,0,NA
69,NA,NA,0,NA
69.14833333,59.0909996,-153.7960052,0,"2"
70,NA,NA,0,NA
71,NA,NA,0,NA
72,NA,NA,0,NA
73,NA,NA,0,NA
74,NA,NA,0,NA
75,NA,NA,0,NA
76,NA,NA,0,NA
77,NA,NA,0,NA
78,NA,NA,0,NA
79,NA,NA,0,NA
80,NA,NA,0,NA
81,NA,NA,0,NA
82,NA,NA,0,NA
83,NA,NA,0,NA
84,NA,NA,0,NA
85,NA,NA,0,NA
86,NA,NA,0,NA
87,NA,NA,0,NA
88,NA,NA,0,NA
89,NA,NA,0,NA
90,NA,NA,0,NA
91,NA,NA,0,NA
91.09611111,59.19800186,-153.2109985,0,"B"
92,NA,NA,0,NA
93,NA,NA,0,NA
94,NA,NA,0,NA
95,NA,NA,0,NA
96,NA,NA,0,NA
97,NA,NA,0,NA
98,NA,NA,0,NA
99,NA,NA,0,NA
99.91583333,59.1230011,-152.7519989,0,"B"
100,NA,NA,0,NA
101,NA,NA,0,NA
102,NA,NA,0,NA
103,NA,NA,0,NA
104,NA,NA,0,NA
105,NA,NA,0,NA
106,NA,NA,0,NA
107,NA,NA,0,NA
108,NA,NA,0,NA
109,NA,NA,0,NA
110,NA,NA,0,NA
111,NA,NA,0,NA
112,NA,NA,0,NA
113,NA,NA,0,NA
114,NA,NA,0,NA
115,NA,NA,0,NA
116,NA,NA,0,NA
117,NA,NA,0,NA
118,NA,NA,0,NA
119,NA,NA,0,NA
120,NA,NA,0,NA
121,NA,NA,0,NA
122,NA,NA,0,NA
123,NA,NA,0,NA
124,NA,NA,0,NA
125,NA,NA,0,NA
126,NA,NA,0,NA
127,NA,NA,0,NA
128,NA,NA,0,NA
129,NA,NA,0,NA
130,NA,NA,0,NA
131,NA,NA,0,NA
132,NA,NA,0,NA
133,NA,NA,0,NA
134,NA,NA,0,NA
135,NA,NA,0,NA
136,NA,NA,0,NA
137,NA,NA,0,NA
138,NA,NA,0,NA
139,NA,NA,0,NA
140,NA,NA,0,NA
141,NA,NA,0,NA
142,NA,NA,0,NA
143,NA,NA,0,NA
143.3663889,59.17200089,-152.4219971,0,"B"
144,NA,NA,0,NA
145,NA,NA,0,NA
146,NA,NA,0,NA
147,NA,NA,0,NA
148,NA,NA,0,NA
149,NA,NA,0,NA
150,NA,NA,0,NA
151,NA,NA,0,NA
152,NA,NA,0,NA
153,NA,NA,0,NA
154,NA,NA,0,NA
154.8722222,59.19900131,-152.5169983,0,"B"
155,NA,NA,0,NA
155.8544444,59.12900162,-152.5879974,0,"B"
156,NA,NA,0,NA
156.2291667,59.14599991,-152.5469971,0,"A"
157,NA,NA,0,NA
158,NA,NA,0,NA
158.6702778,59.14699936,-152.4830017,0,"B"
158.7591667,59.13999939,-152.4839935,0,"B"
159,NA,NA,0,NA
160,NA,NA,0,NA
160.3775,59.11399841,-152.4810028,0,"B"
161,NA,NA,0.05,NA
162,NA,NA,0.05,NA
163,NA,NA,0.05,NA
164,NA,NA,0.05,NA
165,NA,NA,0.05,NA
166,NA,NA,0.05,NA
167,NA,NA,0,NA
168,NA,NA,0.05,NA
168.7822222,59.19100189,-152.4669952,0.05,"A"
169,NA,NA,0.05,NA
170,NA,NA,0.05,NA
170.1461111,59.16600037,-152.5220032,0.05,"A"
171,NA,NA,0,NA
171.7044444,59.15999985,-152.5500031,0,"B"
172,NA,NA,0,NA
172.4002778,59.14899826,-152.5610046,0,"B"
173,NA,NA,0,NA
173.3816667,59.22299957,-152.5630035,0,"B"
174,NA,NA,0,NA
175,NA,NA,0.05,NA
175.7919444,59.20600128,-152.7070007,0.05,"A"
176,NA,NA,0.05,NA
176.3394444,59.18099976,-152.6230011,0.05,"A"
176.7138889,59.18999863,-152.6369934,0.05,"B"
177,NA,NA,0.05,NA
177.0836111,59.16999817,-152.628006,0.05,"A"
178,NA,NA,0.05,NA
179,NA,NA,0.05,NA
180,NA,NA,0.05,NA
181,NA,NA,0.02,NA
181.5491667,59.18799973,-152.7129974,0.02,"A"
181.7552778,59.20000076,-152.6999969,0.02,"2"
182,NA,NA,0.01,NA
182.1375,59.20899963,-152.720993,0.01,"B"
182.2727778,59.20800018,-152.7079926,0.01,"B"
182.9402778,59.25600052,-152.7339935,0.01,"B"
183,NA,NA,0,NA
183.4705556,59.22200012,-152.7559967,0,"B"
184,NA,NA,0,NA
184.5583333,59.24100113,-152.7599945,0,"B"
184.9041667,59.2480011,-152.7720032,0,"B"
185,NA,NA,0,NA
186,NA,NA,0,NA
187,NA,NA,0,NA
188,NA,NA,0,NA
189,NA,NA,0,NA
190,NA,NA,0,NA
191,NA,NA,0,NA
192,NA,NA,0,NA
192.5972222,59.25699997,-152.7720032,0,"B"
193,NA,NA,0,NA
193.8975,59.22900009,-152.7870026,0,"A"
194,NA,NA,0,NA
194.3063889,59.2159996,-152.776001,0,"A"
195,NA,NA,0,NA
195.6133333,59.17699814,-152.7510071,0,"B"
196,NA,NA,0,NA
196.0133333,59.2179985,-152.7409973,0,"A"
197,NA,NA,0,NA
198,NA,NA,0,NA
198.9152778,59.15100098,-152.7779999,0,"A"
199,NA,NA,0,NA
200,NA,NA,0,NA
200.0630556,59.16400146,-152.7649994,0,"2"
201,NA,NA,0,NA
202,NA,NA,0,NA
203,NA,NA,0,NA
204,NA,NA,0,NA
205,NA,NA,0,NA
206,NA,NA,0,NA
207,NA,NA,0,NA
208,NA,NA,0,NA
209,NA,NA,0,NA
210,NA,NA,0,NA
211,NA,NA,0,NA
211.6727778,59.16400146,-153.3119965,0,"A"
212,NA,NA,0,NA
213,NA,NA,0,NA
214,NA,NA,0,NA
215,NA,NA,0,NA
216,NA,NA,0,NA
217,NA,NA,0,NA
218,NA,NA,0,NA
219,NA,NA,0,NA
219.8061111,59.07099915,-153.6799927,0,"1"
220,NA,NA,0,NA
220.5580556,59.0909996,-153.673996,0,"A"
221,NA,NA,0.95,NA
221.0780556,59.09799957,-153.6940002,0.95,"2"
222,NA,NA,0.95,NA
222.2186111,59.13000107,-153.5850067,0.95,"B"
222.9561111,59.15000153,-153.5809937,0.95,"B"
223,NA,NA,0.25,NA
224,NA,NA,0,NA
225,NA,NA,0,NA
226,NA,NA,0,NA
227,NA,NA,0,NA
228,NA,NA,0,NA
229,NA,NA,0,NA
229.6172222,59.09899902,-154.1349945,0,"A"
230,NA,NA,0,NA
231,NA,NA,0,NA
231.0030556,59.08399963,-154.125,0,"A"
232,NA,NA,0.55,NA
232.8208333,59.04700089,-154.2059937,0.55,"B"
233,NA,NA,1,NA
233.8208333,59.08300018,-154.1150055,1,"2"
234,NA,NA,0.65,NA
235,NA,NA,0,NA
236,NA,NA,0,NA
237,NA,NA,0,NA
238,NA,NA,0,NA
239,NA,NA,0,NA
240,NA,NA,0,NA
241,NA,NA,0.65,NA
241.5238889,59.08499908,-154.1179962,0.65,"1"
242,NA,NA,1,NA
243,NA,NA,0.55,NA
244,NA,NA,0,NA
245,NA,NA,0,NA
246,NA,NA,0,NA
247,NA,NA,0,NA
248,NA,NA,0,NA
249,NA,NA,0,NA
250,NA,NA,0.05,NA
251,NA,NA,0,NA
252,NA,NA,0,NA
253,NA,NA,0,NA
253.1247222,59.04999924,-154.1100006,0,"B"
253.6386111,59.05599976,-154.1119995,0,"A"
254,NA,NA,0,NA
254.8719444,59.06499863,-154.125,0,"B"
255,NA,NA,0,NA
256,NA,NA,0,NA
256.4691667,59.09500122,-154.0919952,0,"B"
257,NA,NA,0,NA
258,NA,NA,0,NA
259,NA,NA,0,NA
260,NA,NA,0,NA
261,NA,NA,0,NA
262,NA,NA,0,NA
263,NA,NA,0,NA
264,NA,NA,0,NA
265,NA,NA,0,NA
266,NA,NA,0,NA
267,NA,NA,0.05,NA
267.4830556,59.11600113,-154.0050049,0.05,"3"
267.7230556,59.11500168,-153.9779968,0.05,"3"
268,NA,NA,0.05,NA
268.4969444,59.11899948,-153.9389954,0.05,"1"
268.6825,59.11899948,-153.9329987,0.05,"1"
269,NA,NA,0.05,NA
269.0602778,59.13700104,-153.8970032,0.05,"B"
269.4027778,59.11700058,-153.9029999,0.05,"1"
